@RELATION hand

@ATTRIBUTE f111 NUMERIC
@ATTRIBUTE f112 NUMERIC
@ATTRIBUTE f113 NUMERIC
@ATTRIBUTE f121 NUMERIC
@ATTRIBUTE f122 NUMERIC
@ATTRIBUTE f123 NUMERIC
@ATTRIBUTE f131 NUMERIC
@ATTRIBUTE f132 NUMERIC
@ATTRIBUTE f133 NUMERIC
@ATTRIBUTE f141 NUMERIC
@ATTRIBUTE f142 NUMERIC
@ATTRIBUTE f143 NUMERIC
@ATTRIBUTE f211 NUMERIC
@ATTRIBUTE f212 NUMERIC
@ATTRIBUTE f213 NUMERIC
@ATTRIBUTE f221 NUMERIC
@ATTRIBUTE f222 NUMERIC
@ATTRIBUTE f223 NUMERIC
@ATTRIBUTE f231 NUMERIC
@ATTRIBUTE f232 NUMERIC
@ATTRIBUTE f233 NUMERIC
@ATTRIBUTE f241 NUMERIC
@ATTRIBUTE f242 NUMERIC
@ATTRIBUTE f243 NUMERIC
@ATTRIBUTE f311 NUMERIC
@ATTRIBUTE f312 NUMERIC
@ATTRIBUTE f313 NUMERIC
@ATTRIBUTE f321 NUMERIC
@ATTRIBUTE f322 NUMERIC
@ATTRIBUTE f323 NUMERIC
@ATTRIBUTE f331 NUMERIC
@ATTRIBUTE f332 NUMERIC
@ATTRIBUTE f333 NUMERIC
@ATTRIBUTE f341 NUMERIC
@ATTRIBUTE f342 NUMERIC
@ATTRIBUTE f343 NUMERIC
@ATTRIBUTE f411 NUMERIC
@ATTRIBUTE f412 NUMERIC
@ATTRIBUTE f413 NUMERIC
@ATTRIBUTE f421 NUMERIC
@ATTRIBUTE f422 NUMERIC
@ATTRIBUTE f423 NUMERIC
@ATTRIBUTE f431 NUMERIC
@ATTRIBUTE f432 NUMERIC
@ATTRIBUTE f433 NUMERIC
@ATTRIBUTE f441 NUMERIC
@ATTRIBUTE f442 NUMERIC
@ATTRIBUTE f443 NUMERIC
@ATTRIBUTE f511 NUMERIC
@ATTRIBUTE f512 NUMERIC
@ATTRIBUTE f513 NUMERIC
@ATTRIBUTE f521 NUMERIC
@ATTRIBUTE f522 NUMERIC
@ATTRIBUTE f523 NUMERIC
@ATTRIBUTE f531 NUMERIC
@ATTRIBUTE f532 NUMERIC
@ATTRIBUTE f533 NUMERIC
@ATTRIBUTE f541 NUMERIC
@ATTRIBUTE f542 NUMERIC
@ATTRIBUTE f543 NUMERIC
@ATTRIBUTE class {open, closed, claw}

@DATA
32.4875, 170.511, 70.3855,20.6128, 181.68, 54.6536,2.96569, 198.831, 25.8709,-0.244802, 203.804, 2.56182,37.2888, 206.537, 45.2426,17.6645, 216.744, 6.486,7.2648, 196.573, -4.27152,9.6961, 180.774, 3.67263,51.5851, 203.796, 39.8181,33.5761, 210.796, 0.0392237,17.8017, 188.704, -8.6163,16.2638, 172.273, 3.50521,65.1757, 197.028, 36.0001,51.6089, 198.965, 1.99785,32.3314, 175.817, -5.82841,22.6761, 158.004, -0.904081,75.5129, 185.808, 31.6256,66.9535, 190.476, 1.08926,48.9985, 176.444, -5.10814,38.0411, 165.01, -0.360612,closed
32.5037, 170.558, 70.4199,20.6287, 181.703, 54.672,2.97508, 198.819, 25.8702,-0.250044, 203.778, 2.55617,37.2958, 206.571, 45.2568,17.6644, 216.73, 6.51525,7.27761, 196.528, -4.20354,9.72789, 180.739, 3.75866,51.5911, 203.828, 39.8307,33.5729, 210.803, 0.0531783,17.8005, 188.704, -8.58331,16.2694, 172.282, 3.55087,65.1816, 197.06, 36.0133,51.6073, 198.963, 2.03158,32.336, 175.794, -5.74274,22.6934, 157.985, -0.780152,75.5191, 185.838, 31.6425,66.9526, 190.49, 1.10506,48.9981, 176.452, -5.08259,38.0438, 165.018, -0.328797,closed
32.526, 170.623, 70.4676,20.6519, 181.729, 54.6914,2.98869, 198.786, 25.857,-0.259993, 203.723, 2.53547,37.3054, 206.617, 45.2763,17.6642, 216.712, 6.55429,7.2941, 196.471, -4.11325,9.76918, 180.696, 3.87297,51.5996, 203.873, 39.848,33.5672, 210.786, 0.0950055,17.8093, 188.655, -8.47358,16.3077, 172.259, 3.70217,65.1899, 197.104, 36.0316,51.6055, 198.974, 2.05994,32.3375, 175.791, -5.67422,22.7027, 157.986, -0.679149,75.5276, 185.88, 31.666,66.9509, 190.508, 1.12838,48.997, 176.463, -5.04283,38.0475, 165.028, -0.277609,closed
32.546, 170.681, 70.5101,20.6717, 181.753, 54.71,2.99702, 198.759, 25.8495,-0.275817, 203.679, 2.52263,37.314, 206.659, 45.2938,17.664, 216.697, 6.58863,7.30847, 196.422, -4.03399,9.80515, 180.658, 3.97328,51.607, 203.913, 39.8634,33.5613, 210.749, 0.150053,17.8251, 188.572, -8.32625,16.3638, 172.21, 3.90402,65.1972, 197.143, 36.0478,51.6038, 198.986, 2.08226,32.3383, 175.792, -5.62112,22.7097, 157.992, -0.600133,75.5353, 185.918, 31.6869,66.9496, 190.524, 1.14914,48.9959, 176.472, -5.00757,38.0497, 165.038, -0.232409,closed
32.5628, 170.729, 70.5458,20.6893, 181.768, 54.7218,3.00551, 198.724, 25.8342,-0.289291, 203.627, 2.50143,37.3213, 206.694, 45.3085,17.6638, 216.685, 6.61718,7.32028, 196.382, -3.96828,9.83471, 180.628, 4.05641,51.6134, 203.947, 39.8764,33.5561, 210.708, 0.203907,17.842, 188.486, -8.18126,16.4207, 172.158, 4.10232,65.2034, 197.176, 36.0615,51.6026, 198.995, 2.10228,32.3398, 175.792, -5.57156,22.7177, 157.995, -0.524544,75.5417, 185.95, 31.7045,66.9485, 190.538, 1.16637,48.9951, 176.48, -4.9783,38.0518, 165.047, -0.194509,closed
32.5792, 170.776, 70.5806,20.7076, 181.783, 54.7326,3.01429, 198.693, 25.82,-0.30606, 203.584, 2.48271,37.3283, 206.728, 45.3227,17.6636, 216.674, 6.64463,7.33153, 196.345, -3.90521,9.86289, 180.6, 4.13622,51.6195, 203.979, 39.8891,33.5514, 210.669, 0.256855,17.8593, 188.403, -8.03823,16.4771, 172.108, 4.29844,65.2094, 197.208, 36.0749,51.6013, 199.003, 2.12232,32.3414, 175.79, -5.52194,22.7258, 157.998, -0.449242,75.548, 185.981, 31.7217,66.9474, 190.551, 1.18309,48.9945, 176.488, -4.94979,38.0546, 165.056, -0.157292,closed
32.5977, 170.835, 70.6161,20.7271, 181.816, 54.7501,3.0255, 198.691, 25.8187,-0.31737, 203.573, 2.47714,37.3374, 206.774, 45.3379,17.6647, 216.679, 6.67147,7.34207, 196.325, -3.84574,9.88849, 180.589, 4.21105,51.6276, 204.024, 39.9023,33.5496, 210.691, 0.270142,17.8576, 188.42, -8.01013,16.4797, 172.132, 4.33555,65.2173, 197.252, 36.0886,51.6014, 199.008, 2.16374,32.3517, 175.769, -5.40642,22.7568, 157.984, -0.269206,75.5559, 186.023, 31.7389,66.9473, 190.577, 1.20003,48.995, 176.507, -4.9217,38.0592, 165.074, -0.122057,closed
32.6144, 170.888, 70.648,20.7439, 181.848, 54.7669,3.03631, 198.69, 25.8182,-0.325365, 203.562, 2.47109,37.3456, 206.815, 45.3516,17.6656, 216.683, 6.69539,7.35139, 196.308, -3.79284,9.91114, 180.58, 4.27761,51.6349, 204.063, 39.9143,33.5483, 210.719, 0.275189,17.8541, 188.45, -8.00239,16.4769, 172.166, 4.34716,65.2243, 197.291, 36.1008,51.6018, 199.009, 2.2042,32.3625, 175.745, -5.29104,22.7885, 157.969, -0.0871223,75.563, 186.061, 31.7544,66.9473, 190.599, 1.21552,48.9953, 176.525, -4.89529,38.0633, 165.091, -0.0880041,closed
32.6146, 170.964, 70.7145,20.7503, 181.89, 54.8055,3.043, 198.681, 25.8235,-0.336961, 203.534, 2.46834,37.3472, 206.865, 45.3803,17.6725, 216.675, 6.72151,7.36799, 196.276, -3.73073,9.93665, 180.56, 4.36267,51.6371, 204.108, 39.9474,33.554, 210.716, 0.303573,17.8643, 188.434, -7.94353,16.4918, 172.167, 4.42873,65.2272, 197.331, 36.1426,51.6084, 199.012, 2.24406,32.3714, 175.739, -5.22221,22.7987, 157.969, 0.00841427,75.5666, 186.097, 31.8091,66.9531, 190.603, 1.2661,49.0031, 176.519, -4.82952,38.0746, 165.087, -0.0106069,closed
32.6147, 171.034, 70.7747,20.7577, 181.923, 54.8358,3.05186, 198.66, 25.8184,-0.346659, 203.494, 2.45481,37.3487, 206.91, 45.4064,17.6787, 216.669, 6.74529,7.38307, 196.246, -3.67425,9.95982, 180.542, 4.43997,51.6391, 204.148, 39.9775,33.5583, 210.699, 0.341253,17.8788, 188.395, -7.85712,16.521, 172.149, 4.54707,65.2298, 197.368, 36.1804,51.6142, 199.016, 2.27884,32.3787, 175.735, -5.16532,22.8064, 157.971, 0.084641,75.5699, 186.13, 31.8587,66.9584, 190.606, 1.31177,49.0102, 176.514, -4.77042,38.0849, 165.083, 0.0588706,closed
