@RELATION hand

@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE f11 NUMERIC
@ATTRIBUTE class {open, closed, claw}

(89.5941, 204.663, 46.3644),(86.4633, 207.898, 8.32551),(79.6557, 184.33, -0.0356207),(78.0889, 170.086, 14.0364), closed
(103.623, 197.388, 45.1318),(103.167, 204.183, 12.3169),(94.9759, 188.191, 4.36886),(92.6769, 177.149, 15.5511), closed
(58.1047, 166.681, 69.0337),(46.8055, 173.695, 50.7287),(34.3356, 184.297, 17.4374),(37.3009, 188.906, -7.264), closed
(58.5625, 205.011, 47.1528),(49.429, 210.805, 6.30599),(50.5992, 188.507, -2.94877),(55.929, 176.243, 8.8595), closed
(73.9128, 207.068, 46.2329),(66.7167, 210.445, 5.0135),(62.3115, 184.741, -3.62592),(63.5212, 170.416, 10.9293), closed
(89.3967, 204.922, 46.5614),(86.1839, 208.136, 8.5117),(79.4012, 184.558, 0.154581),(77.8832, 170.306, 14.2234), closed
(103.437, 197.672, 45.3059),(102.9, 204.44, 12.4867),(94.7231, 188.426, 4.56807),(92.4675, 177.388, 15.7635), closed
(58.0029, 167.446, 69.4783),(46.5878, 174.232, 51.1595),(33.9101, 184.49, 17.8343),(36.726, 188.951, -6.91474), closed
(58.0765, 205.623, 47.3279),(48.7485, 211.07, 6.46272),(50.0601, 188.722, -2.66457),(55.5334, 176.57, 9.19188), closed
(73.4064, 207.797, 46.3397),(66.0413, 210.817, 5.13155),(61.8154, 185.012, -3.3012),(63.1933, 170.801, 11.3518), closed
(88.9082, 205.778, 46.6288),(85.5392, 208.708, 8.5608),(78.9164, 185.022, 0.377376),(77.5585, 170.85, 14.5419), closed
(103.002, 198.633, 45.3749),(102.304, 205.197, 12.4857),(94.2257, 189.079, 4.65332),(92.081, 178.065, 15.8924), closed
(57.8547, 167.877, 69.6668),(46.3535, 174.539, 51.3565),(33.5201, 184.613, 18.0318),(36.2176, 189.001, -6.7465), closed
(57.6842, 205.979, 47.3875),(48.1976, 211.255, 6.52343),(49.5779, 188.888, -2.55499),(55.1474, 176.786, 9.30838), closed
(73.0008, 208.219, 46.344),(65.494, 211.058, 5.15692),(61.3624, 185.198, -3.1653),(62.8535, 171.045, 11.5332), closed
(88.5125, 206.272, 46.5915),(85.0116, 209.057, 8.52495),(78.4721, 185.312, 0.442549),(77.223, 171.182, 14.6586), closed
(102.635, 199.187, 45.3176),(101.805, 205.638, 12.4066),(93.7737, 189.456, 4.64363),(91.7057, 178.458, 15.9138), closed
(57.4765, 168.104, 69.761),(45.9224, 174.714, 51.4651),(32.9916, 184.713, 18.1537),(35.6142, 189.076, -6.63849), closed
(57.1839, 206.182, 47.4428),(47.6019, 211.393, 6.59833),(49.009, 189.014, -2.4554),(54.6284, 176.933, 9.40728), closed
(72.4939, 208.452, 46.3642),(64.8934, 211.231, 5.19182),(60.7949, 185.353, -3.09501),(62.3458, 171.214, 11.6123), closed
(88.0098, 206.535, 46.5805),(84.4302, 209.311, 8.48193),(77.9095, 185.57, 0.375419),(76.6884, 171.429, 14.5786), closed
(102.143, 199.476, 45.2838),(101.233, 205.904, 12.3574),(93.2133, 189.703, 4.60109),(91.1757, 178.69, 15.863), closed
(57.2498, 168.298, 69.951),(45.6375, 174.852, 51.6718),(32.5938, 184.772, 18.3771),(35.1238, 189.114, -6.43033), closed
(56.8182, 206.355, 47.5996),(47.1278, 211.503, 6.77714),(48.5652, 189.116, -2.25655),(54.2409, 177.057, 9.60245), closed
(72.1204, 208.658, 46.4821),(64.4143, 211.384, 5.32524),(60.3533, 185.486, -2.93335),(61.971, 171.358, 11.7766), closed
(87.6411, 206.776, 46.6628),(83.967, 209.52, 8.56038),(77.4748, 185.763, 0.472314),(76.3049, 171.623, 14.6809), closed
(101.787, 199.748, 45.3383),(100.793, 206.188, 12.3728),(92.7851, 189.986, 4.57558),(90.7721, 178.931, 15.7981), closed
(57.1109, 168.393, 70.0471),(45.4643, 174.911, 51.7766),(32.352, 184.779, 18.4906),(34.8233, 189.105, -6.32684), closed
(56.6065, 206.438, 47.6763),(46.8576, 211.552, 6.86623),(48.3099, 189.159, -2.15541),(54.0154, 177.111, 9.70183), closed
(71.9046, 208.758, 46.5375),(64.1409, 211.456, 5.38755),(60.0976, 185.549, -2.85822),(61.7499, 171.423, 11.8512), closed
(87.4276, 206.894, 46.6987),(83.7047, 209.631, 8.58295),(77.2216, 185.871, 0.482625),(76.0671, 171.719, 14.6797), closed
(101.58, 199.881, 45.3593),(100.538, 206.32, 12.3777),(92.5379, 190.116, 4.57232),(90.5443, 179.049, 15.7857), closed
(56.9805, 168.485, 70.1113),(45.2741, 174.954, 51.8615),(32.0501, 184.752, 18.5969),(34.4271, 189.06, -6.23665), closed
(56.3668, 206.517, 47.7205),(46.5247, 211.588, 6.93146),(47.9961, 189.189, -2.07771),(53.7469, 177.156, 9.77328), closed
(71.6586, 208.861, 46.548),(63.8024, 211.526, 5.41051),(59.7834, 185.607, -2.82047),(61.4909, 171.484, 11.8856), closed
